order_id,product_id,quantity,unit_price,discount_amount
1,2400.0,7.0,1138.22,0.0
2,1988.0,7.0,10166.25,0.0
3,901.0,3.0,11220.33,0.0
4,599.0,5.0,10639.25,0.0
6,1935.0,1.0,1597.84,0.0
7,1934.0,6.0,1633.49,0.0
8,1934.0,6.0,1602.92,0.0
8,1935.0,4.0,1642.51,0.0
9,1432.0,8.0,4049.64,0.0
10,1431.0,5.0,3977.37,0.0
13,1888.0,6.0,6006.28,0.0
15,1516.0,4.0,10833.53,0.0
16,1668.0,1.0,5074.15,0.0
17,2352.0,5.0,4407.64,0.0
18,597.0,3.0,9985.76,0.0
20,2240.0,8.0,1064.38,0.0
20,2241.0,4.0,1069.75,0.0
21,597.0,2.0,9758.83,0.0
22,1579.0,7.0,5595.02,0.0
23,1041.0,5.0,12008.32,0.0
24,1470.0,3.0,10863.52,0.0
25,2123.0,3.0,8298.69,0.0
26,1988.0,2.0,10196.64,0.0
28,901.0,4.0,11274.95,0.0
29,1484.0,2.0,950.75,0.0
30,1483.0,4.0,1027.59,0.0
31,2071.0,3.0,4175.51,0.0
32,1862.0,6.0,2599.04,0.0
33,2142.0,8.0,9342.06,0.0
34,2380.0,6.0,3778.24,0.0
35,2359.0,2.0,5362.22,0.0
36,2277.0,1.0,3514.8,0.0
38,2400.0,3.0,1109.32,0.0
39,2359.0,2.0,5254.42,0.0
41,205.0,5.0,9736.68,0.0
42,1174.0,3.0,6841.28,0.0
43,1859.0,3.0,1893.3,0.0
44,852.0,4.0,9707.48,0.0
45,597.0,8.0,9885.26,0.0
46,2239.0,3.0,4013.96,0.0
47,1449.0,6.0,1759.59,0.0
47,1450.0,3.0,1809.15,0.0
48,1934.0,1.0,1658.89,0.0
48,1935.0,3.0,1594.99,0.0
49,1470.0,5.0,10790.22,0.0
50,343.0,2.0,12776.36,0.0
52,1477.0,2.0,4048.71,0.0
53,901.0,7.0,11541.12,0.0
56,2388.0,5.0,3641.21,0.0
58,112.0,3.0,9031.01,0.0
59,1470.0,2.0,11173.11,0.0
60,1888.0,1.0,6074.2,0.0
62,2254.0,3.0,718.3,0.0
63,205.0,5.0,9998.5,0.0
65,1184.0,2.0,7409.79,0.0
66,1298.0,8.0,4600.11,0.0
67,1888.0,2.0,6208.65,0.0
68,2054.0,2.0,6898.11,0.0
70,2251.0,8.0,1553.9,0.0
71,2250.0,5.0,1508.79,0.0
72,1942.0,6.0,1459.17,0.0
72,1943.0,7.0,1485.99,0.0
74,1518.0,3.0,11159.44,0.0
75,597.0,3.0,9702.2,0.0
76,343.0,7.0,12588.76,0.0
78,599.0,6.0,10513.77,0.0
79,2071.0,2.0,4126.27,0.0
80,1201.0,4.0,6818.49,0.0
81,1888.0,7.0,6071.12,0.0
82,2400.0,5.0,1119.42,0.0
83,2053.0,4.0,4010.92,0.0
84,2064.0,8.0,6488.12,0.0
85,1518.0,1.0,11000.4,0.0
86,597.0,1.0,9897.88,0.0
87,1975.0,7.0,687.32,0.0
88,1974.0,5.0,665.35,0.0
89,599.0,7.0,10516.05,0.0
90,2055.0,1.0,6747.15,0.0
91,179.0,7.0,10747.18,0.0
92,1059.0,2.0,10045.12,0.0
93,1059.0,3.0,9937.57,0.0
95,1888.0,2.0,6007.14,0.0
96,1470.0,7.0,11375.49,0.0
97,1470.0,3.0,11461.15,0.0
99,2050.0,3.0,5881.22,0.0
100,2204.0,3.0,1789.19,0.0
100,2205.0,2.0,1814.1,0.0
101,1517.0,1.0,9908.35,0.0
102,1518.0,1.0,11012.4,0.0
104,205.0,1.0,9634.98,0.0
106,901.0,3.0,10870.75,0.0
107,1516.0,3.0,10954.01,0.0
108,599.0,7.0,10143.99,0.0
110,205.0,8.0,10199.36,0.0
