order_id,product_id,promo_id,promo_id_2
1,2400,,
2,609,,
3,396,,
4,635,,
6,1935,,
7,1934,,
8,1934,,
8,1935,,
9,1432,,
10,1431,,
13,604,,
15,574,,
16,1668,,
17,2352,,
18,676,,
20,2240,,
20,2241,,
21,676,,
22,36,,
23,1041,,
24,671,,
25,174,,
26,609,,
28,396,,
29,1484,,
30,1483,,
31,2071,,
32,1862,,
33,600,,
34,2380,,
35,2359,,
36,2277,,
38,2400,,
39,2359,,
41,400,,
42,1174,,
43,1859,,
44,4,,
45,676,,
46,606,,
47,1449,,
47,1450,,
48,1934,,
48,1935,,
49,671,,
50,475,,
52,1477,,
53,396,,
56,2388,,
58,187,,
59,671,,
60,604,,
62,2254,,
63,400,,
65,1184,,
66,1298,,
67,604,,
68,2054,,
70,2251,,
71,2250,,
72,1942,,
72,1943,,
74,467,,
75,676,,
76,475,,
78,635,,
79,2071,,
80,1201,,
81,604,,
82,2400,,
83,2053,,
84,2064,,
85,467,,
86,676,,
87,1975,,
88,1974,,
89,635,,
90,2055,,
91,565,,
92,485,,
93,485,,
95,604,,
96,671,,
97,671,,
99,2050,,
100,2204,,
100,2205,,
101,596,,
102,467,,
104,400,,
106,396,,
107,574,,
108,635,,
110,400,,
116,604,,
117,475,,
118,580,,
120,499,,
121,604,,
122,604,,
124,1041,,
125,1139,,
125,1215,,
126,445,,
128,1173,,
130,596,,
132,103,,
133,499,,
135,1668,,
136,2054,,
137,2400,,
138,1116,,
140,467,,
141,606,,
144,396,,
145,574,,
146,2064,,
147,1156,,
149,635,,
152,1061,,
153,1062,,
154,1120,,
156,559,,
157,647,,
158,2353,,
159,565,,
160,396,,
163,1974,,
163,1975,,
164,1148,,
165,103,,
168,1501,,
169,1502,,
170,2045,,
171,103,,
172,609,,
173,2280,,
175,1298,,
176,671,,
177,1188,,
177,1895,,
178,2384,,
179,103,,
180,1317,,
182,1360,,
183,1359,,
184,467,,
185,1139,,
186,604,,
187,93,,
188,1916,,
189,691,,
190,396,,
191,4,,
192,1086,,
193,1085,,
194,1106,,
196,396,,
197,2053,,
198,103,,
199,103,,
202,2223,,
204,1966,,
205,103,,
206,31,,
208,606,,
209,93,,
210,1891,,
211,1228,,
212,559,,
213,2005,,
214,2359,,
215,1859,,
217,609,,
218,635,,
219,671,,
220,681,,
223,635,,
224,609,,
225,681,,
226,604,,
227,1182,,
228,396,,
229,604,,
230,618,,
231,596,,
232,604,,
233,609,,
234,676,,
236,1920,,
237,1186,,
238,1451,,
239,631,,
239,1452,,
241,2252,,
241,2253,,
242,1228,,
244,2252,,
244,2253,,
245,609,,
246,467,,
249,1818,,
250,1847,,
251,573,,
254,681,,
257,2252,,
257,2253,,
259,671,,
260,596,,
261,467,,
262,604,,
263,1215,,
264,443,,
265,681,,
266,596,,
268,609,,
269,1818,,
271,400,,
273,93,,
274,676,,
275,609,,
278,488,,
280,671,,
281,1202,,
282,2045,,
284,1227,,
285,647,,
286,2083,,
287,1040,,
290,2174,,
291,499,,
292,1489,,
292,1490,,
293,618,,
295,565,,
296,559,,
297,1188,,
298,645,,
299,396,,
300,1182,,
301,2359,,
302,467,,
303,2250,,
305,2250,,
305,2251,,
306,2359,,
307,2388,,
308,676,,
309,484,,
310,475,,
311,433,,
312,691,,
315,573,,
316,676,,
317,671,,
318,1215,,
322,635,,
323,676,,
324,445,,
326,467,,
328,573,,
330,2070,,
331,604,,
333,488,,
335,2380,,
336,396,,
337,635,,
338,671,,
339,1870,,
340,1062,,
341,1061,,
342,671,,
344,635,,
346,499,,
347,475,,
348,676,,
351,671,,
352,2046,,
353,609,,
357,248,,
358,573,,
359,606,,
362,631,,
365,1934,,
366,475,,
367,671,,
368,2343,,
369,396,,
370,550,,
371,1987,,
372,2240,,
373,647,,
376,1934,,
377,1935,,
378,396,,
380,1188,,
381,1915,,
383,1174,,
385,443,,
386,2332,,
388,2204,,
388,2205,,
391,2054,,
393,445,,
394,2269,,
395,2070,,
396,1081,,
396,1082,,
397,396,,
399,396,,
400,606,,
401,396,,
402,1894,,
403,1085,,
404,1086,,
405,1085,,
405,1086,,
406,445,,
409,635,,
410,596,,
411,676,,
412,676,,
413,671,,
414,596,,
415,550,,
416,475,,
417,485,,
418,400,,
419,606,,
420,671,,
421,475,,
423,495,,
425,532,,
426,532,,
427,488,,
428,676,,
429,635,,
430,475,,
432,574,,
433,596,,
434,606,,
435,400,,
436,635,,
438,609,,
439,609,,
440,2332,,
442,681,,
443,604,,
444,2359,,
445,2240,,
446,2241,,
448,396,,
449,396,,
450,2174,,
451,2332,,
452,559,,
453,580,,
457,2055,,
458,2254,,
458,2255,,
459,2045,,
461,604,,
463,573,,
466,989,,
469,2054,,
470,2053,,
471,604,,
472,2053,,
473,647,,
474,2331,,
475,676,,
476,2046,,
477,992,,
478,740,,
479,739,,
484,631,,
485,676,,
486,2240,,
486,2241,,
487,592,,
490,725,,
490,726,,
491,604,,
492,2128,,
495,631,,
496,981,,
497,600,,
499,1862,,
501,573,,
503,676,,
505,826,,
506,725,,
508,981,,
509,1859,,
511,2055,,
513,609,,
514,647,,
515,910,,
516,1000,,
517,2396,,
518,915,,
520,1870,,
523,1014,,
525,604,,
527,2083,,
528,1987,,
530,1926,,
530,1927,,
531,2046,,
532,2396,,
533,1003,,
534,758,,
535,757,,
536,475,,
539,2396,,
540,981,,
542,475,,
543,1017,,
544,691,,
545,954,,
546,826,,
547,676,,
548,609,,
550,580,,
551,2332,,
552,795,,
552,796,,
554,635,,
556,467,,
557,767,,
557,768,,
558,635,,
559,467,,
560,964,,
562,396,,
563,954,,
564,676,,
565,559,,
566,532,,
567,785,,
567,786,,
568,600,,
569,1916,,
570,2082,,
571,1903,,
573,604,,
574,1001,,
577,559,,
581,573,,
582,2240,,
582,2241,,
583,936,,
584,396,,
