order_id,product_id,quantity,unit_price,discount_amount
1,2400,7,1138.22,0.0
2,609,7,10166.25,0.0
3,396,3,11220.33,0.0
4,635,5,10639.25,0.0
6,1935,1,1597.84,0.0
7,1934,6,1633.49,0.0
8,1934,6,1602.92,0.0
8,1935,4,1642.51,0.0
9,1432,8,4049.64,0.0
10,1431,5,3977.37,0.0
13,604,6,6006.28,0.0
15,574,4,10833.53,0.0
16,1668,1,5074.15,0.0
17,2352,5,4407.64,0.0
18,676,3,9985.76,0.0
20,2240,8,1064.38,0.0
20,2241,4,1069.75,0.0
21,676,2,9758.83,0.0
22,36,7,5595.02,0.0
23,1041,5,12008.32,0.0
24,671,3,10863.52,0.0
25,174,3,8298.69,0.0
26,609,2,10196.64,0.0
28,396,4,11274.95,0.0
29,1484,2,950.75,0.0
30,1483,4,1027.59,0.0
31,2071,3,4175.51,0.0
32,1862,6,2599.04,0.0
33,600,8,9342.06,0.0
34,2380,6,3778.24,0.0
35,2359,2,5362.22,0.0
36,2277,1,3514.8,0.0
38,2400,3,1109.32,0.0
39,2359,2,5254.42,0.0
41,400,5,9736.68,0.0
42,1174,3,6841.28,0.0
43,1859,3,1893.3,0.0
44,4,4,9707.48,0.0
45,676,8,9885.26,0.0
46,606,3,4013.96,0.0
47,1449,6,1759.59,0.0
47,1450,3,1809.15,0.0
48,1934,1,1658.89,0.0
48,1935,3,1594.99,0.0
49,671,5,10790.22,0.0
50,475,2,12776.36,0.0
52,1477,2,4048.71,0.0
53,396,7,11541.12,0.0
56,2388,5,3641.21,0.0
58,187,3,9031.01,0.0
59,671,2,11173.11,0.0
60,604,1,6074.2,0.0
62,2254,3,718.3,0.0
63,400,5,9998.5,0.0
65,1184,2,7409.79,0.0
66,1298,8,4600.11,0.0
67,604,2,6208.65,0.0
68,2054,2,6898.11,0.0
70,2251,8,1553.9,0.0
71,2250,5,1508.79,0.0
72,1942,6,1459.17,0.0
72,1943,7,1485.99,0.0
74,467,3,11159.44,0.0
75,676,3,9702.2,0.0
76,475,7,12588.76,0.0
78,635,6,10513.77,0.0
79,2071,2,4126.27,0.0
80,1201,4,6818.49,0.0
81,604,7,6071.12,0.0
82,2400,5,1119.42,0.0
83,2053,4,4010.92,0.0
84,2064,8,6488.12,0.0
85,467,1,11000.4,0.0
86,676,1,9897.88,0.0
87,1975,7,687.32,0.0
88,1974,5,665.35,0.0
89,635,7,10516.05,0.0
90,2055,1,6747.15,0.0
91,565,7,10747.18,0.0
92,485,2,10045.12,0.0
93,485,3,9937.57,0.0
95,604,2,6007.14,0.0
96,671,7,11375.49,0.0
97,671,3,11461.15,0.0
99,2050,3,5881.22,0.0
100,2204,3,1789.19,0.0
100,2205,2,1814.1,0.0
101,596,1,9908.35,0.0
102,467,1,11012.4,0.0
104,400,1,9634.98,0.0
106,396,3,10870.75,0.0
107,574,3,10954.01,0.0
108,635,7,10143.99,0.0
110,400,8,10199.36,0.0
116,604,8,6140.03,0.0
117,475,7,12301.56,0.0
118,580,5,10020.97,0.0
120,499,3,11527.67,0.0
121,604,5,6340.91,0.0
122,604,2,6233.16,0.0
124,1041,1,11891.69,0.0
125,1139,3,7646.94,0.0
125,1215,7,4079.73,0.0
126,445,8,10844.76,0.0
128,1173,7,6034.61,0.0
130,596,1,9639.22,0.0
132,103,3,10169.15,0.0
133,499,6,10637.7,0.0
135,1668,1,5282.86,0.0
136,2054,7,7066.78,0.0
137,2400,5,1117.1,0.0
138,1116,1,3162.53,0.0
140,467,3,11300.0,0.0
141,606,3,4084.33,0.0
144,396,7,11211.85,0.0
145,574,7,11282.44,0.0
146,2064,8,6470.64,0.0
147,1156,8,4111.93,0.0
149,635,8,10932.53,0.0
152,1061,1,1777.33,0.0
153,1062,7,1782.35,0.0
154,1120,6,2232.81,0.0
156,559,8,7562.17,0.0
157,647,4,11048.86,0.0
158,2353,8,5178.9,0.0
159,565,8,10432.67,0.0
160,396,6,10785.91,0.0
163,1974,2,696.48,0.0
163,1975,2,687.27,0.0
164,1148,2,3848.4,0.0
165,103,3,10480.17,0.0
168,1501,5,4360.63,0.0
169,1502,5,4316.81,0.0
170,2045,8,5598.4,0.0
171,103,4,10366.67,0.0
172,609,3,10263.17,0.0
173,2280,1,1920.52,0.0
175,1298,1,4575.84,0.0
176,671,6,11288.89,0.0
177,1188,5,5796.95,0.0
177,1895,6,8960.74,0.0
178,2384,8,7810.66,0.0
179,103,3,10128.13,0.0
180,1317,7,3887.33,0.0
182,1360,8,4836.32,0.0
183,1359,2,4510.45,0.0
184,467,5,10899.95,0.0
185,1139,8,8252.45,0.0
186,604,3,6165.14,0.0
187,93,5,12779.13,0.0
188,1916,8,3514.97,0.0
189,691,6,4759.02,0.0
190,396,2,10476.86,0.0
191,4,2,9593.13,0.0
192,1086,7,1124.58,0.0
193,1085,1,1172.76,0.0
194,1106,4,3147.48,0.0
196,396,2,11171.09,0.0
197,2053,1,4007.5,0.0
198,103,2,11031.04,0.0
199,103,7,10198.58,0.0
202,2223,4,2706.73,0.0
204,1966,4,2935.35,0.0
205,103,2,10298.11,0.0
206,31,7,8909.19,0.0
208,606,4,3944.85,0.0
209,93,3,12340.87,0.0
210,1891,7,8474.79,0.0
211,1228,5,1664.38,0.0
212,559,2,7602.98,0.0
213,2005,8,3558.42,0.0
214,2359,3,5378.93,0.0
215,1859,4,1889.02,0.0
217,609,6,10625.38,0.0
218,635,2,10758.72,0.0
219,671,7,11645.24,0.0
220,681,7,8797.68,0.0
223,635,7,10489.71,0.0
224,609,4,10478.06,0.0
225,681,2,8739.17,0.0
226,604,5,6040.18,0.0
227,1182,7,2199.08,0.0
228,396,6,11176.68,0.0
229,604,2,6123.97,0.0
230,618,7,14462.92,0.0
231,596,2,9590.33,0.0
232,604,8,6029.1,0.0
233,609,7,10421.74,0.0
234,676,2,9727.65,0.0
236,1920,2,3417.69,0.0
237,1186,6,4516.77,0.0
238,1451,8,4482.6,0.0
239,631,5,4607.61,0.0
239,1452,7,4461.57,0.0
241,2252,5,1542.13,0.0
241,2253,5,1627.63,0.0
242,1228,2,1638.99,0.0
244,2252,7,1606.12,0.0
244,2253,3,1641.09,0.0
245,609,5,10304.67,0.0
246,467,3,11145.5,0.0
249,1818,3,2499.83,0.0
250,1847,5,1491.87,0.0
251,573,6,3673.18,0.0
254,681,6,8939.87,0.0
257,2252,6,1617.87,0.0
257,2253,2,1574.12,0.0
259,671,4,11380.01,0.0
260,596,5,9546.54,0.0
261,467,4,11258.05,0.0
262,604,2,6017.75,0.0
263,1215,2,4159.57,0.0
264,443,1,11027.85,0.0
265,681,6,9024.16,0.0
266,596,3,9525.35,0.0
268,609,1,10404.92,0.0
269,1818,4,2446.93,0.0
271,400,6,10002.47,0.0
273,93,6,12495.91,0.0
274,676,7,9818.91,0.0
275,609,2,10461.99,0.0
278,488,5,13167.12,0.0
280,671,3,11225.11,0.0
281,1202,5,7232.31,0.0
282,2045,6,5569.48,0.0
284,1227,7,3663.8,0.0
285,647,7,11252.63,0.0
286,2083,3,3991.78,0.0
287,1040,1,13125.52,0.0
290,2174,3,5039.78,0.0
291,499,7,11103.65,0.0
292,1489,2,3317.74,0.0
292,1490,2,3243.46,0.0
293,618,8,14350.27,0.0
295,565,4,10716.52,0.0
296,559,8,7735.17,0.0
297,1188,1,5608.92,0.0
298,645,8,8778.32,0.0
299,396,6,10642.52,0.0
300,1182,7,2154.75,0.0
301,2359,2,5237.79,0.0
302,467,1,10972.21,0.0
303,2250,2,1526.72,0.0
305,2250,2,1511.03,0.0
305,2251,1,1527.71,0.0
306,2359,2,5331.33,0.0
307,2388,8,3643.36,0.0
308,676,7,9967.9,0.0
309,484,5,15520.41,0.0
310,475,5,12598.21,0.0
311,433,4,11436.6,0.0
312,691,5,4653.0,0.0
315,573,7,3678.14,0.0
316,676,6,10065.28,0.0
317,671,6,10981.58,0.0
318,1215,8,4209.39,0.0
322,635,5,10716.69,0.0
323,676,2,9815.63,0.0
324,445,3,10833.03,0.0
326,467,2,11343.75,0.0
328,573,4,3869.99,0.0
330,2070,6,6197.24,0.0
331,604,8,6218.3,0.0
333,488,2,12957.34,0.0
335,2380,2,3768.57,0.0
336,396,6,11184.22,0.0
337,635,4,10762.32,0.0
338,671,5,11322.68,0.0
339,1870,7,10023.8,0.0
340,1062,2,1760.9,0.0
341,1061,1,1809.62,0.0
342,671,2,11461.15,0.0
344,635,2,11169.66,0.0
346,499,5,11072.97,0.0
347,475,1,13037.3,0.0
348,676,2,9843.93,0.0
351,671,2,11210.55,0.0
352,2046,1,5349.33,0.0
353,609,1,10302.24,0.0
357,248,8,6735.72,0.0
358,573,5,3686.72,0.0
359,606,6,4100.23,0.0
362,631,7,4776.71,0.0
365,1934,1,1641.85,0.0
366,475,3,12628.0,0.0
367,671,7,11254.2,0.0
368,2343,5,5937.59,0.0
369,396,1,10912.47,0.0
370,550,5,5218.34,0.0
